tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
f1.0_r050	control	150	94	-197.412167203053	-197.843121659363	0.924428159282082	1.20616654546582	6.5793967423149e-06	0.306872538658915	0.255989996790155	0.0225592947926421	0.861908912619128	0.649888508421797	ok
f1.0_r051	driver	150	121	-217.763196374004	-222.893971090706	0.678382987927965	1.42707879005347	0.874944061113421	0.770251799183298	0.014012591764289	0.165578291841504	10.2615494334041	0.005911978590524	ok
f1.0_r051	control	150	87	-201.0463273597	-201.589808488454	1.07174656807772	1.42164599527465	0.560108063115272	0.869131718041277	2.45208170464154e-09	0.103969848548678	1.08696225750901	0.580723157529011	ok
f1.0_r052	driver	150	81	-211.372664296747	-212.652329773448	1.23411583057126	0.847224046236333	0.516902272923808	0.273616426550713	1.47335224249743e-09	0.0868964563844156	2.55933095340185	0.27813032596694	ok
f1.0_r052	control	150	64	-224.556543221802	-225.988925747505	1.22615136178445	0.780569426363098	0.571214125651965	0.163577715640803	3.66278162037801e-09	0.156651907329793	2.86476505140615	0.238739441256463	ok
f1.0_r053	driver	150	61	-207.790437883089	-208.803971293054	0.964286808188796	0.86072751492386	0.0530666343700993	0.276554535675391	1.01620994328034e-09	0.104270585048031	2.02706681992919	0.362934315558707	ok
f1.0_r053	control	150	69	-203.190118027063	-203.979928727219	1.02688695075344	0.856834542206389	0.200706671764875	0.239588101210128	3.44302738693265e-08	0.0782680946787005	1.57962140031174	0.453930716163511	ok
f1.0_r054	driver	150	91	-195.049802203082	-195.415452991817	1.09124173259208	1.28057405569122	0.448601548357903	0.497113111483456	8.83696569914729e-08	0.131497486444524	0.731301577468571	0.693745022491481	ok
f1.0_r054	control	150	100	-202.805198285906	-203.677999664843	1.60829560990876	1.03803910724285	1.00874638138549	0.19238813496297	0.0567800343336692	0.162843722749108	1.745602757874	0.417779549576012	ok
f1.0_r055	driver	150	104	-215.256811369171	-216.986065606885	1.8126596647357	0.978878185688908	1.40874416299599	0.301355832163962	0.0715286964972223	0.15317854098016	3.45850847542891	0.177416671308277	ok
f1.0_r055	control	150	8	-170.599809742163	-173.425124104512	1.10123721249222	2.04876835242578	0.406648090675238	2.21672920768476	1.12327026913563e-09	0.0265225613662906	5.6506287246981	0.059290015351002	ok
f1.0_r056	driver	150	36	-198.26513530271	-198.557035462476	0.832385551783799	1.10455283007143	0.118171051184053	0.540347867332497	9.46445112463973e-11	0.0839819580036218	0.583800319532315	0.74684309724066	ok
f1.0_r056	control	150	87	-225.06676927074	-226.304786104874	0.749173744572995	1.00369197508079	0.196764139513637	0.249543962331447	3.90626447121821e-09	0.124532241060934	2.47603366826945	0.289958684284761	ok
f1.0_r057	driver	150	83	-217.760825001652	-220.016302924	1.35719433123195	0.750733794721226	0.70542625587843	7.00421868782459e-06	1.95609375070022e-07	0.145640851978132	4.51095584469687	0.104823434301139	ok
f1.0_r057	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r058	driver	150	124	-180.115113574642	-182.116652095164	2.04845210657364	1.30950537321122	2.18153425613465	0.43433468908809	2.06803864882803e-08	0.177950993870593	4.00307704104307	0.135127227216334	ok
f1.0_r058	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r059	driver	150	89	-240.236636686542	-241.50314177238	1.14428134336126	0.767989338727703	0.59567885142299	5.74365981065062e-06	7.89575055557303e-06	0.189873394291009	2.53301017167598	0.281814821288651	ok
f1.0_r059	control	150	92	-238.473290798831	-238.484473695149	0.806062221450893	0.819136930390346	0.0894326134642921	0.066007404251122	1.21515625113267e-07	0.132163119342302	0.0223657926377427	0.988879399832789	ok
f1.0_r060	driver	150	106	-229.324970453957	-233.133665000388	1.7259639734641	0.885944303786534	1.73094848206104	1.73677009357208e-06	1.23810005972428e-07	0.265652677121755	7.61738909286208	0.022177111257081	ok
f1.0_r060	control	150	100	-221.194238099791	-221.317226091169	0.969399352158082	0.91024145349341	0.360367490861658	0.107842653844426	6.56060716150538e-08	0.13934200371915	0.245975982757329	0.884274281412064	ok
f1.0_r061	driver	150	86	-205.516519272582	-205.597102162446	0.884562182442485	0.977540576278189	8.89790892901763e-10	0.110548002387083	2.44604805196201e-08	0.124972481173157	0.16116577972798	0.922578428013857	ok
f1.0_r061	control	150	96	-199.402658889111	-199.427055143683	0.883786175624616	0.920565398053721	3.0719426285187e-06	1.98244947566731e-07	3.89557624730917e-08	0.0977565227988512	0.0487925091444481	0.975898928718559	ok
f1.0_r062	driver	150	114	-226.378875441039	-228.589038551777	0.780622517552429	1.08755203351043	0.625500132896751	0.366048112511737	7.53439965228767e-07	0.146966476986411	4.42032622147605	0.10968275662099	ok
f1.0_r062	control	150	58	-208.821430742484	-210.271682482191	1.10593422577829	0.927322872798188	0.647757247303807	3.26564441603042e-08	0.0119384418423602	0.127722295859111	2.90050347941394	0.234511244870283	ok
f1.0_r063	driver	150	55	-218.158991830489	-218.505480460157	1.02603268545106	0.781744633753048	0.447501003232768	0.0509513542028258	0.00724101677534636	0.154509643624937	0.69297725933626	0.707166859963444	ok
f1.0_r063	control	150	122	-234.870290355183	-237.774218356254	0.612041397174039	1.01047570719183	0.48503252566283	0.317513268831023	4.18171397564321e-08	0.111979394506674	5.80785600214034	0.0548075127158229	ok
f1.0_r064	driver	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r064	control	150	91	-218.010086176986	-218.461203456042	0.898231242463801	1.18381019471871	0.282625169381773	0.578152208966328	2.17868166460556e-08	0.107758908809829	0.902234558112752	0.636916140873626	ok
f1.0_r065	driver	150	92	-204.03897610447	-205.291886379716	1.46986256437947	1.03613064779194	1.13181240253888	0.252051930970434	3.3812313242138e-09	0.175303541212836	2.50582055049261	0.285672201170905	ok
f1.0_r065	control	150	86	-201.375573315918	-203.114581375959	0.830185931105105	1.4918764102686	0.0731165985027923	0.987125186984833	0.0225828478021253	0.0565887612103793	3.47801612008323	0.17569459269564	ok
f1.0_r066	driver	150	47	-234.66058149177	-234.86502342827	0.766492331243615	0.807022493744483	0.0391574380242125	0.243535444265809	1.2064222623101e-09	0.144116549229272	0.408883873001685	0.815102068221782	ok
f1.0_r066	control	150	84	-229.005002200056	-229.6583623332	0.890693407321203	0.701413026136447	0.129061789860714	0.0659381849028545	1.26115270281848e-09	0.0837019110674587	1.30672026628713	0.520294577223526	ok
f1.0_r067	driver	150	44	-190.697963473253	-192.412326565497	1.14105296160183	0.812900232185652	0.271879403320515	0.216727701968336	3.68789447790709e-09	0.113867657578267	3.4287261844886	0.180078377511606	ok
f1.0_r067	control	150	18	-178.515122878459	-178.599685845551	1.09686199927424	0.929902210336839	0.401758224684462	0.224897265239053	5.85209209710082e-11	0.182418468932293	0.169125934184592	0.918913792225546	ok
f1.0_r068	driver	150	63	-202.740553667967	-203.449094428774	0.955606687725207	1.25973657921361	0.157550328638952	0.776416030060975	4.12217188011349e-09	0.0799091821085291	1.4170815216138	0.492362147646087	ok
f1.0_r068	control	150	75	-220.504105446153	-221.01412106305	1.21118785712383	0.957635382644679	0.485765376732505	0.32360509973469	3.32790939123102e-10	0.142207637810862	1.0200312337933	0.600486201008098	ok
f1.0_r069	driver	150	58	-208.942077215172	-209.350454320852	1.26839395037886	1.00746837877491	0.663632316521182	0.445928486815033	1.59803633335413e-08	0.137318290032081	0.816754211360319	0.664728158786958	ok
f1.0_r069	control	150	41	-188.741969029952	-190.444875757725	1.18783170593884	0.983315522114514	0.438922044222624	0.591775210747935	2.18081079482283e-08	0.0741753942510189	3.40581345554602	0.182153283785091	ok
f1.0_r070	driver	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r070	control	150	107	-219.531864024157	-221.616998783251	1.5675385721093	1.03402289227585	1.48078761495261	0.287367390579041	3.09011726522631e-08	0.1946473709999	4.17026951818826	0.124290369779531	ok
f1.0_r071	driver	150	70	-210.461513649416	-211.478111602494	0.732065669909815	0.930504580931477	3.24108952378184e-05	2.88585813968209e-05	7.20824245395561e-08	0.144408305515814	2.03319590615541	0.361823790196992	ok
